Student ID,Date,Time,Paid Course(Yes/No),Email,Date sent,Payment,Payment Receipt Sent,How and where did you hear about this course?,Country,City,Gender,Age,University/College,Comp_Prog_Degree,University/College Name,Discipline of Degree,Foundational_course in DS_Eco_stat_CS,Programming languages,PW_Exp_DS_ML,Primary Reason for taking this course?,PF_Edu_R,PF_EDU_Python,PW_Exp_R,PW_Exp_Python,P_Edu_R,P_Edu_Python,LinkedIn Account,feedback/comments
1,2022-08-25,14:35:19,Yes,Sent,2022-08-26,Paid,Yes,Through a friend,PAKISTAN,KARACHI,Male,23,No,Bachelors,University of Illinois,BACHELOR OF SCIENCE IN MARKETING AND DATA ANALYTICS,DATA SCIENCE,HAVE TAKEN A COURSE IN R BUT NOT SO COMFORTABLE. I HAVE JUST GONE THROUGH PYTHON AND FIND IT MORE DOABLE.,Beginner (0 Years),"I did my major in marketing and due to my extensive interest in the field of analytics I did my minor in data analytics. The courses I took in minor helped me explore my hidden interest for analytics and data visualisation. I really love playing with the data and keenly interested in having a strong hold in this field. Hence, I believe it sounds like a great opportunity to scale my passion and career ",Learner (1 Year or Less),Beginner (0 Years),None (0 Years),None (0 Years),Learner (1 Year or Less),Beginner (0 Years),YES,No comments
2,2022-08-22,05:25:04,No,Sent,2022-08-23,Pending,No,Friend,PAKISTAN,KARACHI,Female,32,No,Masters,Ned university,M.E.,DATA SCIENCE,PYTHON,Beginner (0 Years),Knowledge,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Learner (1 Year or Less),NO,No comments
3,2022-08-22,05:26:34,No,Sent,2022-08-23,Pending,No,WhatsApp group,PAKISTAN,LAHORE,Male,22,No,Masters,"Univeristy of agriculture, Faislabad ",MSC,NONE OF THEM,PYTHON,Beginner (0 Years),Learning,Learner (1 Year or Less),Learner (1 Year or Less),Some (1 Year or Less),Some (1 Year or Less),Learner (1 Year or Less),Learner (1 Year or Less),YES,Good
4,2022-08-22,05:27:38,No,Sent,2022-08-23,Pending,No,Whatsapp group,PAKISTAN,PESHAWAR,Male,22,Yes,Bachelors,Institute of Management Sciences Peshawar (IMScieces),SOFTWARE ENGINEERING,ALL OF THEM,"R, PAYTHON",Learner (1 Year or Less),I'm planning to get my Mastet degree in Data Science so this will help me out in that and will get some knowledge and learn new things as well,Beginner (0 Years),Beginner (0 Years),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Beginner (0 Years),YES,No comments
5,2022-08-22,05:31:42,Yes,Sent,2022-08-23,Maybe,No,Through a collegue,PAKISTAN,KARACHI,Male,23,Yes,Bachelors,IBA,COMPUTER SCIENCE,COMPUTER SCIENCE,JAVA,Learner (1 Year or Less),"I am really interested in R, python and statistics. I wanted to learn and polish these tools to enhance my Data Science capabilities. ",Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),None (0 Years),Beginner (0 Years),Intermediate (2-3 Years),YES,Looking forward learning with you. It's an amazing opportunity for me.
6,2022-08-22,05:32:14,No,Sent,2022-08-23,Pending,No,WhatsApp group,PAKISTAN,KARACHI,Male,23,Yes,Bachelors,IBA,COMPUTER SCIENCE,COMPUTER SCIENCE,"JAVA, PYTHON, JS",Learner (1 Year or Less),Learning and experience,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),Learner (1 Year or Less),YES,No comments
7,2022-08-22,05:34:04,No,Sent,2022-08-23,Pending,No,LinkedIn,PAKISTAN,PESHAWAR,Male,21,Yes,Bachelors,Institute of Management Sciences Peshawar,BACHELOR OF COMPUTER SCIENCE,DATA SCIENCE,PYTHON AND JAVA,Learner (1 Year or Less),I love Data science and i have completed many courses from Coursera and YouTube and more i have done many projects for my learning and this course would help to grow and excel my skills in the field of data science,Learner (1 Year or Less),Learner (1 Year or Less),Some (1 Year or Less),Intermediate (2-3 Years),Learner (1 Year or Less),Intermediate (2-3 Years),YES,No comments
8,2022-08-22,05:34:30,Yes,Sent,2022-08-23,Pending,No,Group,PAKISTAN,KARACHI,Male,20,Yes,H.S.C,Sindh Madarsatul Islam University,BSCS,COMPUTER SCIENCE,NONE,Beginner (0 Years),To learn new things,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),NO,No comments
9,2022-08-22,05:37:56,No,Sent,2022-08-24,Pending,No,linkedin,PAKISTAN,ISLAMABAD,Male,20,Yes,Bachelors,bahria University Islamabad,COMPUTER SCIENCE,COMPUTER SCIENCE,"PYTHON , JAVASCRIPT , C++ ",Intermediate (2-3 Years),Revision of my foundation skills and development of industry best practices,Beginner (0 Years),Learner (1 Year or Less),Intermediate (2-3 Years),Intermediate (2-3 Years),Beginner (0 Years),Intermediate (2-3 Years),YES,No comments
10,2022-08-22,05:39:15,No,Sent,2022-08-24,Pending,No,LinkedIn,PAKISTAN,KARACHI,Male,24,No,Bachelors,IBA,BACHELORS OF SCIENCE IN ACCOUNTING AND FINANCE,ALL OF THEM,R AND PYTHON,Beginner (0 Years),Professional growth,Learner (1 Year or Less),Beginner (0 Years),Some (1 Year or Less),None (0 Years),Learner (1 Year or Less),Beginner (0 Years),YES,No comments
11,2022-08-22,05:39:26,No,Sent,2022-08-24,Pending,No,DataCamp group,PAKISTAN,KARACHI,Male,19,Yes,Bachelors,Sindh Madrresatul Islam University,BS ARTIFICIAL INTELLIGENCE,NONE OF THEM,PYTHON,Learner (1 Year or Less),I am currently doing BS AI and this course will help me alot to polish my skills and be more efficient to my vision,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Intermediate (2-3 Years),YES,No comments
12,2022-08-22,05:41:53,No,Sent,2022-08-24,Pending,No,University friends,PAKISTAN,KARACHI,Female,20,Yes,Bachelors,Sindh Madressatul Islam University,BS IN ARTIFICIAL INTELLIGENCE (BSAI),DATA SCIENCE,PYTHON,Learner (1 Year or Less),I wnat this internship to enhance my experience and skills,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),Intermediate (2-3 Years),Beginner (0 Years),Intermediate (2-3 Years),YES,No comments
13,2022-08-22,05:43:23,Yes,Sent,2022-08-26,Pending,No,In a datacamp group,PAKISTAN,KARACHI,Male,19,Yes,H.S.C,Sindh Muslim Government Science College,BS ARTIFICIAL INTELLIGENCE,COMPUTER SCIENCE,PYTHON,Intermediate (2-3 Years),To become professional in this course,Learner (1 Year or Less),Intermediate (2-3 Years),Some (1 Year or Less),Intermediate (2-3 Years),Beginner (0 Years),Learner (1 Year or Less),YES,No comments
14,2022-08-22,05:59:06,Yes,Sent,2022-08-23,Pending,No,Social media,PAKISTAN,KARACHI,Male,20,Yes,H.S.C,Smiu,BS SE,DATA SCIENCE,PYTHON,Learner (1 Year or Less),Tos learn Data Science,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),None (0 Years),Beginner (0 Years),Intermediate (2-3 Years),YES,No comments
